Date;Hour;Total;KP1;KP2
01.02.2019;01:00;5,62;2,2;3,42
01.02.2019;02:00;5,27;2,16;3,11
01.02.2019;03:00;5,89;2,52;3,37
01.02.2019;04:00;6,57;2,79;3,78
01.02.2019;05:00;6,67;2,96;3,71
01.02.2019;06:00;6,8;2,71;4,09
01.02.2019;07:00;6,5;2,44;4,06
01.02.2019;08:00;7,25;3,19;4,06
01.02.2019;09:00;8,08;3,88;4,2
01.02.2019;10:00;10,74;6,33;4,41
01.02.2019;11:00;6,92;3,29;3,63
01.02.2019;12:00;5,91;2,17;3,74
01.02.2019;13:00;7,16;2,72;4,44
01.02.2019;14:00;6,57;2,57;4
01.02.2019;15:00;7,02;2,63;4,39
01.02.2019;16:00;7;2,85;4,15
01.02.2019;17:00;7,48;3,18;4,3
01.02.2019;18:00;8,66;4,22;4,44
01.02.2019;19:00;7,73;3,75;3,98
01.02.2019;20:00;15,84;10,75;5,09
01.02.2019;21:00;12,19;7,75;4,44
01.02.2019;22:00;11,07;6,74;4,33
01.02.2019;23:00;9,24;4,69;4,55
02.02.2019;00:00;6,6;2,35;4,25
02.02.2019;01:00;7,1;2,41;4,69
02.02.2019;02:00;7,64;2,93;4,71
02.02.2019;03:00;6,96;2,73;4,23
02.02.2019;04:00;6,67;2,41;4,26
02.02.2019;05:00;6,97;2,6;4,37
02.02.2019;06:00;7,63;2,86;4,77
02.02.2019;07:00;7,48;2,96;4,52
02.02.2019;08:00;7,37;3,36;4,01
02.02.2019;09:00;7,14;2,71;4,43
02.02.2019;10:00;9,14;4,49;4,65
02.02.2019;11:00;9,68;6,03;3,65
02.02.2019;12:00;9,06;4,91;4,15
02.02.2019;13:00;7,57;3,56;4,01
02.02.2019;14:00;7,94;4,84;3,1
02.02.2019;15:00;8,09;3,61;4,48
02.02.2019;16:00;7,81;2,71;5,1
02.02.2019;17:00;6,64;2,71;3,93
02.02.2019;18:00;7,72;4,49;3,23
02.02.2019;19:00;16,15;11,53;4,62
02.02.2019;20:00;13,27;8,66;4,61
02.02.2019;21:00;7,75;5,48;2,27
02.02.2019;22:00;6,24;4,16;2,08
02.02.2019;23:00;5,19;2,93;2,26
03.02.2019;00:00;5,07;2,77;2,3
03.02.2019;01:00;6,07;3,36;2,71
03.02.2019;02:00;6,86;4,3;2,56
03.02.2019;03:00;5,56;3,3;2,26
03.02.2019;04:00;5,07;2,38;2,69
03.02.2019;05:00;5,47;3,04;2,43
03.02.2019;06:00;6,02;3,22;2,8
03.02.2019;07:00;5,73;3,06;2,67
03.02.2019;08:00;6,93;2,96;3,97
03.02.2019;09:00;8,9;4,01;4,89
03.02.2019;10:00;8,18;3,08;5,1
03.02.2019;11:00;7,99;3,12;4,87
03.02.2019;12:00;8,93;4,12;4,81
03.02.2019;13:00;8,81;3,09;5,72
03.02.2019;14:00;7,52;2,91;4,61
03.02.2019;15:00;5,57;2,97;2,6
03.02.2019;16:00;6,06;3,16;2,9
03.02.2019;17:00;5,74;3,23;2,51
03.02.2019;18:00;6,49;2,87;3,62
03.02.2019;19:00;12,46;10,04;2,42
03.02.2019;20:00;11,77;8,68;3,09
03.02.2019;21:00;7,15;4,54;2,61
03.02.2019;22:00;7,39;4,09;3,3
03.02.2019;23:00;4,46;1,84;2,62
04.02.2019;00:00;5,5;2,1;3,4
04.02.2019;01:00;5,45;2,74;2,71
04.02.2019;02:00;6,31;2,39;3,92
04.02.2019;03:00;5,12;1,97;3,15
04.02.2019;04:00;5,77;2,21;3,56
04.02.2019;05:00;5,32;2,24;3,08
04.02.2019;06:00;5,77;2,33;3,44
04.02.2019;07:00;5,55;2,39;3,16
04.02.2019;08:00;5,81;2,51;3,3
04.02.2019;09:00;6,91;3,41;3,5
04.02.2019;10:00;6,32;3,23;3,09
04.02.2019;11:00;7,8;4,32;3,48
04.02.2019;12:00;8,45;5,42;3,03
04.02.2019;13:00;6,27;2,27;4
04.02.2019;14:00;4,85;2,06;2,79
04.02.2019;15:00;5,5;2,34;3,16
04.02.2019;16:00;5,09;2,39;2,7
04.02.2019;17:00;5,14;2,18;2,96
04.02.2019;18:00;5,62;3,17;2,45
04.02.2019;19:00;5,35;2,67;2,68
04.02.2019;20:00;4,7;2,52;2,18
04.02.2019;21:00;5,59;2,46;3,13
04.02.2019;22:00;5,24;2,11;3,13
04.02.2019;23:00;5,2;2,06;3,14
05.02.2019;00:00;4,35;1,85;2,5
05.02.2019;01:00;4,92;1,83;3,09
05.02.2019;02:00;4,45;2,08;2,37
05.02.2019;03:00;5,44;2,03;3,41
05.02.2019;04:00;4,17;2,06;2,11
05.02.2019;05:00;5,12;1,94;3,18
05.02.2019;06:00;4,44;2,03;2,41
05.02.2019;07:00;5,46;2,26;3,2
05.02.2019;08:00;7,33;4,32;3,01
05.02.2019;09:00;8,07;4,83;3,24
05.02.2019;10:00;6,81;4,07;2,74
05.02.2019;11:00;5,37;1,84;3,53
05.02.2019;12:00;5,5;2,68;2,82
05.02.2019;13:00;7,16;3,55;3,61
05.02.2019;14:00;5,91;3,21;2,7
05.02.2019;15:00;6,17;2,86;3,31
05.02.2019;16:00;5,29;2,48;2,81
05.02.2019;17:00;6,22;2,88;3,34
05.02.2019;18:00;5,9;2,4;3,5
05.02.2019;19:00;11,42;7,89;3,53
05.02.2019;20:00;12,17;9,14;3,03
05.02.2019;21:00;9,05;5,92;3,13
05.02.2019;22:00;7,79;4,68;3,11
05.02.2019;23:00;7,7;4,41;3,29
06.02.2019;00:00;4,9;1,64;3,26
06.02.2019;01:00;5,97;2,3;3,67
06.02.2019;02:00;6,1;2,57;3,53
06.02.2019;03:00;7,48;2,64;4,84
06.02.2019;04:00;6,7;2,52;4,18
06.02.2019;05:00;6,72;2,67;4,05
06.02.2019;06:00;6,89;2,59;4,3
06.02.2019;07:00;6,93;2,98;3,95
06.02.2019;08:00;7,99;3,49;4,5
06.02.2019;09:00;11,24;7,39;3,85
06.02.2019;10:00;12,56;8,26;4,3
06.02.2019;11:00;8,8;4,65;4,15
06.02.2019;12:00;7,64;3,85;3,79
06.02.2019;13:00;13,36;9;4,36
06.02.2019;14:00;8,73;5,31;3,42
06.02.2019;15:00;7,86;3,95;3,91
06.02.2019;16:00;5,77;2,64;3,13
06.02.2019;17:00;7,03;3,17;3,86
06.02.2019;18:00;7,5;3,85;3,65
06.02.2019;19:00;7,14;3,66;3,48
06.02.2019;20:00;6,79;2,65;4,14
06.02.2019;21:00;6,7;3,38;3,32
06.02.2019;22:00;7,07;2,74;4,33
06.02.2019;23:00;6,46;2,45;4,01
07.02.2019;00:00;6,81;2,63;4,18
07.02.2019;01:00;6,76;2,75;4,01
07.02.2019;02:00;7,18;2,87;4,31
07.02.2019;03:00;7,21;2,77;4,44
07.02.2019;04:00;6,6;2,73;3,87
07.02.2019;05:00;6,98;2,71;4,27
07.02.2019;06:00;6,47;2,78;3,69
07.02.2019;07:00;6,35;2,89;3,46
07.02.2019;08:00;8,22;4,09;4,13
07.02.2019;09:00;6,61;3,28;3,33
07.02.2019;10:00;6,15;2,89;3,26
07.02.2019;11:00;4,99;2,01;2,98
07.02.2019;12:00;4,94;2,06;2,88
07.02.2019;13:00;5,58;2,68;2,9
07.02.2019;14:00;5,43;2,59;2,84
07.02.2019;15:00;5,34;2,32;3,02
07.02.2019;16:00;5,17;2,45;2,72
07.02.2019;17:00;5,41;2,15;3,26
07.02.2019;18:00;5,51;2,61;2,9
07.02.2019;19:00;12,21;10;2,21
07.02.2019;20:00;7,39;5,58;1,81
07.02.2019;21:00;6,49;5,05;1,44
07.02.2019;22:00;4,22;2,82;1,4
07.02.2019;23:00;3,76;2,62;1,14
08.02.2019;00:00;2,72;1,64;1,08
08.02.2019;01:00;2,53;1,71;0,82
08.02.2019;02:00;2,62;1,92;0,7
