Klo,Total,KP1,KP2,lämpötila
2019-01-02 01:00:00,5.62,2.2,3.42,-4.9
2019-01-02 02:00:00,5.27,2.16,3.11,-5.5
2019-01-02 03:00:00,5.89,2.52,3.37,-6.1
2019-01-02 04:00:00,6.57,2.79,3.78,-6.1
2019-01-02 05:00:00,6.67,2.96,3.71,-6.1
2019-01-02 06:00:00,6.8,2.71,4.09,-6.7
2019-01-02 07:00:00,6.5,2.44,4.06,-7.4
2019-01-02 08:00:00,7.25,3.19,4.06,-8.1
2019-01-02 09:00:00,8.08,3.88,4.2,-9.2
2019-01-02 10:00:00,10.74,6.33,4.41,-10.6
2019-01-02 11:00:00,6.92,3.29,3.63,-11.4
2019-01-02 12:00:00,5.91,2.17,3.74,-12.9
2019-01-02 13:00:00,7.16,2.72,4.44,-13.1
2019-01-02 14:00:00,6.57,2.57,4.0,-13.7
2019-01-02 15:00:00,7.02,2.63,4.39,-15.5
2019-01-02 16:00:00,7.0,2.85,4.15,-15.1
2019-01-02 17:00:00,7.48,3.18,4.3,-17.7
2019-01-02 18:00:00,8.66,4.22,4.44,-20.3
2019-01-02 19:00:00,7.73,3.75,3.98,-19.9
2019-01-02 20:00:00,15.84,10.75,5.09,-20.1
2019-01-02 21:00:00,12.19,7.75,4.44,-20.2
2019-01-02 22:00:00,11.07,6.74,4.33,-21.5
2019-01-02 23:00:00,9.24,4.69,4.55,-23
2019-02-02 00:00:00,6.6,2.35,4.25,-16.3
2019-02-02 01:00:00,7.1,2.41,4.69,-14.8
2019-02-02 02:00:00,7.64,2.93,4.71,-16.1
2019-02-02 03:00:00,6.96,2.73,4.23,-17.5
2019-02-02 04:00:00,6.67,2.41,4.26,-18.6
2019-02-02 05:00:00,6.97,2.6,4.37,-18.9
2019-02-02 06:00:00,7.63,2.86,4.77,-20.3
2019-02-02 07:00:00,7.48,2.96,4.52,-19.5
2019-02-02 08:00:00,7.37,3.36,4.01,-18.3
2019-02-02 09:00:00,7.14,2.71,4.43,-17.4
2019-02-02 10:00:00,9.14,4.49,4.65,-16.5
2019-02-02 11:00:00,9.68,6.03,3.65,-16.1
2019-02-02 12:00:00,9.06,4.91,4.15,-16.2
2019-02-02 13:00:00,7.57,3.56,4.01,-17.5
2019-02-02 14:00:00,7.94,4.84,3.1,-18.5
2019-02-02 15:00:00,8.09,3.61,4.48,-18.8
2019-02-02 16:00:00,7.81,2.71,5.1,-19
2019-02-02 17:00:00,6.64,2.71,3.93,-20
2019-02-02 18:00:00,7.72,4.49,3.23,-19.1
2019-02-02 19:00:00,16.15,11.53,4.62,-18.7
2019-02-02 20:00:00,13.27,8.66,4.61,-18.8
2019-02-02 21:00:00,7.75,5.48,2.27,-22.2
2019-02-02 22:00:00,6.24,4.16,2.08,-22
2019-02-02 23:00:00,5.19,2.93,2.26,-22.4
2019-03-02 00:00:00,5.07,2.77,2.3,-5.9
2019-03-02 01:00:00,6.07,3.36,2.71,-5.7
2019-03-02 02:00:00,6.86,4.3,2.56,-5.4
2019-03-02 03:00:00,5.56,3.3,2.26,-6
2019-03-02 04:00:00,5.07,2.38,2.69,-5.9
2019-03-02 05:00:00,5.47,3.04,2.43,-5.8
2019-03-02 06:00:00,6.02,3.22,2.8,-5.7
2019-03-02 07:00:00,5.73,3.06,2.67,-5.3
2019-03-02 08:00:00,6.93,2.96,3.97,-5.3
2019-03-02 09:00:00,8.9,4.01,4.89,-5.1
